# Berço    Linear [m]    H [mm]    u_H [mm]    V [mm]    u_V [mm]    L [mm]    u_L [mm]    Roll [mrad]    u_roll [mrad]    fH [mm]    dH [mm]    fV [mm]    dV [mm]
S12-B08     120.089      -0.541      0.022     0.504      0.030     -0.114      0.023        0.222             0.052       -0.457     -0.084      0.419      0.045
S12-B07     122.120      -0.366      0.022     0.354      0.030     -0.095      0.023       -0.158             0.052       -0.454      0.088      0.397     -0.083
S12-B06     124.151      -0.513      0.022     0.470      0.030     -0.017      0.023        0.019             0.052       -0.453     -0.060      0.375      0.055
S12-B05     125.905      -0.484      0.030     0.413      0.025      0.007      0.025        0.199             0.052       -0.452     -0.032      0.357      0.016
S12-B04     127.697      -0.445      0.022     0.389      0.030      0.085      0.023        0.053             0.052       -0.453      0.008      0.339      0.010
S12-B03     129.559      -0.469      0.022     0.318      0.030      0.105      0.025       -0.075             0.052       -0.454     -0.015      0.320     -0.042
S12-B02     131.384      -0.450      0.022     0.334      0.030      0.025      0.023        0.018             0.052       -0.457      0.007      0.301     -0.007
S12-B01     138.768      -0.395      0.022     0.222      0.030      0.037      0.023        0.065             0.052       -0.472      0.077      0.225     -0.043
S11-B11     140.593      -0.352      0.022     0.136      0.030      0.326      0.025       -0.005             0.052       -0.476      0.124      0.205     -0.109
S11-B10     142.454      -0.544      0.022     0.171      0.030      0.238      0.023        0.154             0.052       -0.481     -0.063      0.185     -0.054
S11-B09     144.247      -0.511      0.030     0.156      0.025      0.216      0.025        0.010             0.052       -0.486     -0.025      0.165     -0.049
S11-B08     146.001      -0.543      0.022     0.191      0.030      0.247      0.023       -0.004             0.052       -0.492     -0.051      0.145      0.006
S11-B07     148.032      -0.619      0.022     0.033      0.030      0.173      0.023       -0.210             0.052       -0.498     -0.121      0.121     -0.128
S11-B06     150.063      -0.444      0.022     0.229      0.030      0.280      0.023        0.034             0.052       -0.504      0.060      0.097      0.092
S11-B05     151.816      -0.489      0.030     0.229      0.025      0.200      0.025        0.200             0.052       -0.509      0.020      0.077      0.112
S11-B04     153.609      -0.463      0.022     0.149      0.030      0.098      0.023        0.025             0.052       -0.514      0.051      0.056      0.053
S11-B03     155.471      -0.452      0.022     0.147      0.030      0.056      0.025        0.085             0.052       -0.520      0.068      0.034      0.073
S11-B02     157.295      -0.434      0.022     0.140      0.030      0.059      0.023        0.046             0.052       -0.525      0.091      0.013      0.087
S11-B01     164.680      -0.521      0.022     0.071      0.030      0.176      0.023       -0.097             0.052       -0.549      0.028     -0.065     -0.046
